from,to,weight
Platzeck,Politik,1
Platzeck,SPD,1
Pofalla,Industrie,3
Praetorius,Wissenschaft,1
Praetorius,Energieunternehmen,3
Tillich,Politik,1
Hasselfeldt,Sonstiges,3
Hasselfeldt,CSU,2
Kapferer,Politik,2
Kapferer,Verband,3
Kampeter,Verband,3
Kampeter,CSU,2
Kempf,Verband,3
Nemat,Sonstiges,3
Reiche,Verband,3
Reiche,CDU,2
Roestel,Sonstiges,3
Roestel,Energieunternehmen,3
Roestel,Gruene,2
Schweitzer,Verband,3
Schweitzer,Sonstiges,3
Grothus,Umweltschutz,3
Grothus,Sonstiges,2
Wodtke,CDU,2
Wodtke,Regionalvertreter,3
Herntier,Politik,3
Kreuzberg,CDU,3
Kreuzberg,Politik,3
Priggen,Verband,3
Priggen,Gruene,2
Vassiliadis,Gewerkschaft,3
Vassiliadis,SPD,2
Scheidt,Gewerkschaft,3
Scheidt,SPD,2
Scheidt,Energieunternehmen,3
Koerzell,Gewerkschaft,3
Koerzell,SPD,2
Kaiser,Umweltschutz,3
Weiger,Umweltschutz,3
Niebert,Umweltschutz,3
Niebert,Wissenschaft,2
Allmendinger,Wissenschaft,3
Allmendinger,Wissenschaft,2
Matthes,Wissenschaft,3
Schellnhuber,Wissenschaft,3
Schellnhuber,Wissenschaft,2
Niebuhr,Wissenschaft,2
Werhspohn,Wissenschaft,3
Werhspohn,Wissenschaft,2
Laemmel,CDU,2
Laemmel,Politik,3
Lenz,CSU,2
Lenz,Politik,3
Miersch,SPD,2
